"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","regime","global_hrf","hetero"
1,"st_default",0.387318697675629,1.06747785485848,-0.924618404063496,-0.0397753535045207,0.631944444444444,TRUE,NA,"medium__nominal__none","medium","nominal","none"
1,"fmrilss_lss",0.391171996765884,2.83051431785312,0.052901870625296,-0.0150364164309523,0.611111111111111,TRUE,NA,"medium__nominal__none","medium","nominal","none"
1,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.183667461756214,3.81985975666603,-0.38355660241767,0.016523698531251,0.555555555555556,TRUE,NA,"medium__nominal__none","medium","nominal","none"
1,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.185389422328045,3.75642722837009,-0.39313523430297,-0.00121507154760525,0.5625,TRUE,NA,"medium__nominal__none","medium","nominal","none"
1,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.220389874210813,2.87777080745084,-0.444097394287614,0.0042631682215142,0.578703703703704,TRUE,NA,"medium__nominal__none","medium","nominal","none"
1,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.223303160639704,2.84002186042625,-0.442932977785332,-0.0129044481159114,0.578703703703704,TRUE,NA,"medium__nominal__none","medium","nominal","none"
1,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.184415531045313,3.79617774936785,-0.385603553644785,0.0134684117362447,0.55787037037037,TRUE,NA,"medium__nominal__none","medium","nominal","none"
1,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.187850803202186,3.6801092784151,-0.401477642139905,-0.0132412162494424,0.574074074074074,TRUE,NA,"medium__nominal__none","medium","nominal","none"
1,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.221364463412721,2.85995345154524,-0.444856696488259,0.00125177224087682,0.578703703703704,TRUE,NA,"medium__nominal__none","medium","nominal","none"
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.227392027514433,2.77836107895733,-0.444918337171468,-0.0244062773878418,0.583333333333333,TRUE,NA,"medium__nominal__none","medium","nominal","none"
1,"fmrilss_sbhm",0.286861954492288,3.46703185565939,-0.19350865221439,-0.0245298997964666,0.548611111111111,TRUE,NA,"medium__nominal__none","medium","nominal","none"
2,"st_default",0.305186040686964,0.934695826798608,-0.947374639131432,0.0021009900398873,0.587962962962963,TRUE,NA,"medium__nominal__none","medium","nominal","none"
2,"fmrilss_lss",0.294421789562923,2.50762931268647,-0.187686010226635,0.0380065503467797,0.564814814814815,TRUE,NA,"medium__nominal__none","medium","nominal","none"
2,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.131363606689374,3.43485690292233,-0.513870456235069,0.0301344167086265,0.548611111111111,TRUE,NA,"medium__nominal__none","medium","nominal","none"
2,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.138906776808683,3.37925360404714,-0.497653383074212,0.0237591779014461,0.546296296296296,TRUE,NA,"medium__nominal__none","medium","nominal","none"
2,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.168890541536581,2.57236951396562,-0.543575375491475,0.0294939584201512,0.55787037037037,TRUE,NA,"medium__nominal__none","medium","nominal","none"
2,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.177435072420404,2.54725628688803,-0.523889794427768,0.0228233418846578,0.56712962962963,TRUE,NA,"medium__nominal__none","medium","nominal","none"
2,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.133087218758153,3.41268335395989,-0.511304695334647,0.0290733495908365,0.548611111111111,TRUE,NA,"medium__nominal__none","medium","nominal","none"
2,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.145430151066059,3.31010123531951,-0.486971923224815,0.0195772229733407,0.560185185185185,TRUE,NA,"medium__nominal__none","medium","nominal","none"
2,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.170779711935784,2.55729035972284,-0.541124882669309,0.0284204082887899,0.560185185185185,TRUE,NA,"medium__nominal__none","medium","nominal","none"
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.185049935620073,2.49782460820552,-0.512778178811935,0.018586635036105,0.576388888888889,TRUE,NA,"medium__nominal__none","medium","nominal","none"
2,"fmrilss_sbhm",0.234553351198351,3.13813868840521,-0.301553878375506,0.0398565048824858,0.539351851851852,TRUE,NA,"medium__nominal__none","medium","nominal","none"
1,"st_default",0.266864877816787,0.950161819433719,-0.972028143120371,0.00067414871293127,0.581018518518518,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
1,"fmrilss_lss",0.247056544292751,2.62860099197614,-0.330677803128754,0.0260356130836712,0.5625,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
1,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.200078820763774,3.63513810676427,-0.203698234885575,0.0359286961536983,0.555555555555556,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
1,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.20013842663169,3.7120112467373,-0.182512896712744,0.0303892489070509,0.560185185185185,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
1,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.219584001891419,2.60489271594355,-0.370580363924466,0.029317359226434,0.564814814814815,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
1,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.220506391948213,2.64769514772824,-0.353772370182597,0.0243226743562088,0.56712962962963,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
1,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.200189458634834,3.6331353639492,-0.203392141392226,0.0356198374432193,0.555555555555556,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
1,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.201696850597059,3.6968929708386,-0.177738237468764,0.0261979992289343,0.564814814814815,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
1,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.219694512966597,2.60350431194575,-0.370393026131202,0.0290332412246172,0.564814814814815,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.22180295740619,2.63673235053316,-0.350802408325555,0.0204194978723854,0.56712962962963,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
1,"fmrilss_sbhm",0.208706793285835,3.88743608724755,-0.0755432535462591,-0.0674477219850113,0.55787037037037,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
2,"st_default",0.30352895773636,1.08943771287852,-0.969355963316953,0.00709866993914261,0.590277777777778,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
2,"fmrilss_lss",0.30038919892074,2.97692705056496,-0.179180010293665,-0.0533058386110144,0.611111111111111,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
2,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.0765073679586045,3.72641136568165,-0.753158648987424,0.0083674009464618,0.543981481481482,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
2,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.071718332236419,3.83574432319718,-0.762936504001629,0.00838112098819323,0.553240740740741,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
2,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.11530644721064,2.76810640173595,-0.708671562006951,0.00430248272458162,0.543981481481482,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
2,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.111843058757634,2.82510423318865,-0.710177843755664,0.00442122111469547,0.541666666666667,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
2,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.076423032648372,3.72617914439905,-0.75341533949644,0.0083396423962706,0.543981481481482,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
2,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.0698887575881037,3.8453837210695,-0.766668733399188,0.00887136868315608,0.539351851851852,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
2,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.115343118409433,2.7676639353375,-0.708564041061288,0.00428369375100922,0.546296296296296,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.111397231210113,2.82783002262707,-0.709407146415776,0.00494445892874756,0.543981481481482,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
2,"fmrilss_sbhm",0.253045098273385,3.61645566522092,-0.259145641609324,-0.052473694045342,0.571759259259259,TRUE,NA,"medium__nominal__moderate","medium","nominal","moderate"
1,"st_default",0.244738561291804,1.09880623006016,-0.978493168790418,0.00861786801010568,0.574074074074074,TRUE,NA,"medium__nominal__high","medium","nominal","high"
1,"fmrilss_lss",0.252326508596487,2.78163319939331,-0.363961296624507,-0.0352547806613039,0.56712962962963,TRUE,NA,"medium__nominal__high","medium","nominal","high"
1,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.104321948372026,3.92222968384989,-0.632794085069677,-0.02282066631915,0.509259259259259,TRUE,NA,"medium__nominal__high","medium","nominal","high"
1,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.105133920757085,3.9635626119419,-0.620165556622883,-0.0194465758705916,0.509259259259259,TRUE,NA,"medium__nominal__high","medium","nominal","high"
1,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.132046299828139,2.75909262064057,-0.684815109457065,-0.0159978592488416,0.513888888888889,TRUE,NA,"medium__nominal__high","medium","nominal","high"
1,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.13435655127169,2.76955267307322,-0.672689773296963,-0.0122665614352984,0.511574074074074,TRUE,NA,"medium__nominal__high","medium","nominal","high"
1,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.10470612736046,3.91193082788124,-0.631714952605697,-0.0221575766498796,0.506944444444444,TRUE,NA,"medium__nominal__high","medium","nominal","high"
1,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.107790602012905,3.91882932739995,-0.612280073241819,-0.0177516054779968,0.5,TRUE,NA,"medium__nominal__high","medium","nominal","high"
1,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.132636768199829,2.74935011168192,-0.68390558900349,-0.0153041757570112,0.511574074074074,TRUE,NA,"medium__nominal__high","medium","nominal","high"
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.137939657692651,2.72947079143143,-0.666051115876805,-0.0104216530656276,0.516203703703704,TRUE,NA,"medium__nominal__high","medium","nominal","high"
1,"fmrilss_sbhm",0.243738270281228,3.67447950587703,-0.225400881863155,-0.0279413600208756,0.592592592592593,TRUE,NA,"medium__nominal__high","medium","nominal","high"
2,"st_default",0.315845988240408,1.0107472818573,-0.930550941964244,-0.00751670217263294,0.604166666666667,TRUE,NA,"medium__nominal__high","medium","nominal","high"
2,"fmrilss_lss",0.316112867234858,2.85207886789824,-0.115991557178698,-0.0747194984755539,0.594907407407407,TRUE,NA,"medium__nominal__high","medium","nominal","high"
2,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.129415685047837,3.8146352315413,-0.557257421664986,-0.072299783287227,0.55787037037037,TRUE,NA,"medium__nominal__high","medium","nominal","high"
2,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.122326567948313,3.88792200606351,-0.57218481428592,-0.0610856699408651,0.550925925925926,TRUE,NA,"medium__nominal__high","medium","nominal","high"
2,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.186781985908596,2.68293596220635,-0.544913049297378,-0.0782327266733974,0.55787037037037,TRUE,NA,"medium__nominal__high","medium","nominal","high"
2,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.180659182436661,2.71699927171164,-0.553468861794319,-0.0674883059773941,0.553240740740741,TRUE,NA,"medium__nominal__high","medium","nominal","high"
2,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.12915034972003,3.80849618809601,-0.558840026334966,-0.0707990764260643,0.55787037037037,TRUE,NA,"medium__nominal__high","medium","nominal","high"
2,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.119357551821588,3.87393734384579,-0.581011891128421,-0.0547128895228036,0.543981481481482,TRUE,NA,"medium__nominal__high","medium","nominal","high"
2,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.186767586078099,2.67622545917089,-0.54605754789926,-0.0767219148417723,0.560185185185185,TRUE,NA,"medium__nominal__high","medium","nominal","high"
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.178497002992269,2.69707444648443,-0.560236993512348,-0.0611064834628779,0.546296296296296,TRUE,NA,"medium__nominal__high","medium","nominal","high"
2,"fmrilss_sbhm",0.161499640616591,5.04028409709951,-0.730244642316155,0.00667936858249245,0.569444444444444,TRUE,NA,"medium__nominal__high","medium","nominal","high"
1,"st_default",0.223741090951786,1.03301871955769,-0.959954719597088,-0.00571604163110184,0.604166666666667,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
1,"fmrilss_lss",0.23998465913835,2.85067214544509,-0.272897819005787,-0.0302990835625854,0.615740740740741,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
1,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.135373866479528,4.26562955764863,-0.412269797615574,-0.00326401962572544,0.56712962962963,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
1,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.134197362596927,4.31912524003067,-0.412331153312448,-0.0162790659444149,0.569444444444444,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
1,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.174007706763936,3.0791284975105,-0.441863808437561,-0.00927421949259703,0.5625,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
1,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.172472909411313,3.13095520884652,-0.438039058253604,-0.0205527497917844,0.564814814814815,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
1,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.135491948693269,4.26118106633467,-0.412313971901835,-0.00427934974486228,0.56712962962963,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
1,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.135449400107719,4.29434731113362,-0.412263880376677,-0.0236486520455797,0.5625,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
1,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.174086813431718,3.07655518686104,-0.441956190495267,-0.0101398136748364,0.5625,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.17342236697859,3.11895892928764,-0.438342345649383,-0.0268173585172712,0.560185185185185,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
1,"fmrilss_sbhm",0.158153945572529,5.97465269027286,-0.382811276480805,0.0489539714305237,0.587962962962963,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
2,"st_default",0.333102709472176,1.06299818517742,-0.875389577969598,-0.00458452699553892,0.615740740740741,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
2,"fmrilss_lss",0.350660293901005,2.89809560466126,0.0173283167424308,0.0211912000265282,0.608796296296296,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
2,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.177376532094181,4.4099586499926,-0.255155760924385,-0.0111225234430859,0.578703703703704,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
2,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.188386746781891,4.37194398125961,-0.221392698402926,-0.0124479410641513,0.578703703703704,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
2,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.229008294197109,3.10359104273003,-0.322243604386505,-0.00161972289088467,0.569444444444444,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
2,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.240457986098106,3.09079994811483,-0.291633539877428,-0.00149377795429508,0.578703703703704,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
2,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.178399418922437,4.39794083615179,-0.253081257721681,-0.0108854446777784,0.578703703703704,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
2,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.19725371203447,4.29078723762776,-0.204831769235111,-0.0153914925601703,0.581018518518518,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
2,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.23012144051411,3.09608675783056,-0.320531461493176,-0.00133810406518429,0.569444444444444,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.249337607101716,3.04281904813883,-0.278141949333337,-0.00387276677131564,0.578703703703704,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
2,"fmrilss_sbhm",0.235130796087542,5.77195138239965,-0.256302423743986,-0.0238905057584657,0.571759259259259,TRUE,NA,"medium__mismatch__none","medium","mismatch","none"
1,"st_default",0.336172352407397,1.06232523636379,-0.902550570766694,-0.00568478508205312,0.631944444444444,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
1,"fmrilss_lss",0.335788416497443,3.04256892527856,-0.035964515735175,0.0477111263851609,0.62962962962963,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
1,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.185835400216274,3.63691405358124,-0.381753902897821,-0.00126845756240515,0.569444444444444,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
1,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.189488458535514,3.57040040108126,-0.382519880479211,-0.00973032935117607,0.571759259259259,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
1,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.22877819274556,2.8697529620894,-0.393369527344308,0.00438749035097692,0.576388888888889,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
1,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.23756085969247,2.79858427400558,-0.383306570667356,-0.00211999736506826,0.585648148148148,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
1,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.186461740286951,3.62492206517409,-0.381650898669463,-0.00198344170568667,0.569444444444444,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
1,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.193178198322476,3.50271963077331,-0.383827194960932,-0.0122892720999169,0.578703703703704,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
1,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.229692005347809,2.86006072303352,-0.392723719914671,0.00379024217370187,0.576388888888889,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.24387269700864,2.74203964676613,-0.379215087346885,-0.00371234390344651,0.583333333333333,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
1,"fmrilss_sbhm",0.270564405340653,4.27934495325995,-0.199799825499152,-0.141856448474533,0.594907407407407,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"st_default",0.255802575454671,1.10522656123051,-0.9415848557327,0.00566444358862679,0.583333333333333,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_lss",0.280085650421521,2.86561645583351,-0.237831090750196,-0.0140580855678983,0.592592592592593,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.219681624485986,3.86119536369962,-0.232174430226549,0.0425507793281958,0.55787037037037,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.222490662394477,3.88765992308691,-0.218124497507562,0.0509338387283418,0.55787037037037,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.223629249434467,2.99549332808566,-0.398771828912147,0.0200856329858024,0.5625,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.228797806360566,2.99773181369571,-0.389637849089147,0.0271510344745519,0.56712962962963,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.220012232303912,3.85558758997853,-0.232288194676662,0.0430719430077221,0.55787037037037,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.223728018854539,3.85560310702973,-0.222457685644616,0.0531086978939751,0.555555555555556,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.224078394194327,2.99104334901942,-0.398783113091589,0.0206037271474889,0.564814814814815,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.231107630072167,2.97455603803594,-0.392297305071378,0.0294860324691333,0.569444444444444,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
2,"fmrilss_sbhm",0.272462755711588,3.80387554867543,-0.168996093921989,0.151991797663485,0.583333333333333,TRUE,NA,"medium__mismatch__moderate","medium","mismatch","moderate"
1,"st_default",0.252084553664959,1.1121767066462,-0.956271874219563,0.00738267780775763,0.599537037037037,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_lss",0.28571260140881,3.05098658463695,-0.206314063842689,-0.00596785112772328,0.590277777777778,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.0436832018355686,3.74640559903373,-0.853715445722632,0.0188181611982544,0.527777777777778,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.049592361522349,3.80597089025731,-0.833313185494666,0.0160136450172457,0.525462962962963,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.0916484141927232,2.65645114115489,-0.787752715514865,0.0191355930588116,0.523148148148148,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.0952919486222708,2.69896868423024,-0.776229312285595,0.0164524310824868,0.541666666666667,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.0449994916649575,3.73839231606854,-0.850022757709,0.0183494605381915,0.527777777777778,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.0546921624187564,3.78117767632357,-0.81922542407695,0.0155708952151147,0.530092592592593,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.0928547452896248,2.65194238258561,-0.78541311495274,0.0186865581208931,0.523148148148148,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.0993867528504739,2.68717896713369,-0.767582236023432,0.015955955501391,0.541666666666667,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
1,"fmrilss_sbhm",0.190934571616583,3.99098028229906,-0.544334374908763,0.203589393846746,0.55787037037037,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"st_default",0.263968846141448,1.04189620904207,-0.875756074175473,-0.10321766265917,0.592592592592593,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_lss",0.26539913274368,2.70039527005958,-0.279382978762977,0.116153547867035,0.611111111111111,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.0702862901698026,3.77717191047735,-0.773897702093116,-0.0679452115055757,0.546296296296296,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.0687694458092256,3.89383135109829,-0.770677951494086,-0.0691333717634022,0.546296296296296,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.111542777074875,2.59657935587629,-0.747700986229554,-0.0512850007719921,0.569444444444444,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.109515054730385,2.67278102517583,-0.745383010866744,-0.0522243993873535,0.564814814814815,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.0704069125915334,3.77656836288318,-0.773409147495159,-0.0679890431052112,0.541666666666667,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.0701481318069424,3.896133041618,-0.764615772841463,-0.0684849616840391,0.546296296296296,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
2,"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.111748151239787,2.59617130925749,-0.747273354793933,-0.0513321981773872,0.571759259259259,TRUE,NA,"medium__mismatch__high","medium","mismatch","high"
