"rep","ok","message","mean_margin","median_margin","mean_rho","max_rho","mean_kappa","max_kappa","method_global_ls","method_lss1","method_oasis_voxel","scenario"
1,TRUE,NA,0.0157650755916226,0.0110959604133579,1,1,274710531.617115,317311697.144882,0,0,12,"medium__nominal__none"
2,TRUE,NA,0.00650875300887166,0.00230918447517398,1,1,296962858.105401,373247837.325866,0,0,12,"medium__nominal__none"
3,TRUE,NA,0.0104807263872331,0.00514319242001482,1,1,281059832.5481,316661646.48669,0,0,12,"medium__nominal__none"
4,TRUE,NA,0.0103287939949361,0.00404589397671135,1,1,301906043.331975,373247837.325866,0,0,12,"medium__nominal__none"
5,TRUE,NA,0.016036511942267,0.0104330586007283,1,1,281795909.090415,321821123.140793,0,0,12,"medium__nominal__none"
6,TRUE,NA,0.0108467031691045,0.00574295473910036,1,1,283341778.337231,317311697.144882,0,0,12,"medium__nominal__none"
7,TRUE,NA,0.0208971204831709,0.0146929482399487,1,1,277635063.908615,321821123.140793,0,0,12,"medium__nominal__none"
8,TRUE,NA,0.00508468453589578,0.00154551590857771,1,1,294471628.929294,373247837.325866,0,0,12,"medium__nominal__none"
9,TRUE,NA,0.00557669038471787,0.00235335572096307,1,1,309397021.148434,373247837.325866,0,0,12,"medium__nominal__none"
10,TRUE,NA,0.00813103082829635,0.00573871828070754,1,1,299162841.193713,373247837.325866,0,0,12,"medium__nominal__none"
11,TRUE,NA,0.0101008929229549,0.00372098483890204,1,1,284531950.831595,305771289.9469,0,0,12,"medium__nominal__none"
12,TRUE,NA,0.00952069117556211,0.00300594679267335,1,1,288893778.90848,352570736.846146,0,0,12,"medium__nominal__none"
1,TRUE,NA,0.0108348757104645,0.00380212027651833,1,1,273033805.057126,356756192.530405,0,0,12,"medium__nominal__moderate"
2,TRUE,NA,0.0137386332519153,0.00664245977890299,1,1,256927926.503755,354316705.729216,0,0,12,"medium__nominal__moderate"
3,TRUE,NA,0.00825132893258386,0.00364270987402232,1,1,272159371.373611,356756192.530405,0,0,12,"medium__nominal__moderate"
4,TRUE,NA,0.012310296037661,0.00649404075178245,1,1,249697696.9441,286043673.385075,0,0,12,"medium__nominal__moderate"
5,TRUE,NA,0.00580062024226586,0.00157209271456676,1,1,271515283.752329,356756192.530405,0,0,12,"medium__nominal__moderate"
6,TRUE,NA,0.0136414609177292,0.0108985415426811,1,1,266363542.781028,356756192.530405,0,0,12,"medium__nominal__moderate"
7,TRUE,NA,0.00645005907143046,0.000933928966630138,1,1,282128367.711227,356756192.530405,0,0,12,"medium__nominal__moderate"
8,TRUE,NA,0.0207263827651497,0.0207190805731378,1,1,271720602.583283,356756192.530405,0,0,12,"medium__nominal__moderate"
9,TRUE,NA,0.0152403766564136,0.00909281725464844,1,1,266467154.156852,356756192.530405,0,0,12,"medium__nominal__moderate"
10,TRUE,NA,0.0113139037717611,0.00396730832349518,1,1,280141622.650027,356756192.530405,0,0,12,"medium__nominal__moderate"
11,TRUE,NA,0.0161207319179028,0.0118743651849524,1,1,257423090.782309,286043673.385075,0,0,12,"medium__nominal__moderate"
12,TRUE,NA,0.0102741686558593,0.00440589175395678,1,1,266379202.673382,356756192.530405,0,0,12,"medium__nominal__moderate"
1,TRUE,NA,0.0121157803868171,0.00489461217424192,1,1,274155806.702496,346149788.319008,0,0,12,"medium__nominal__high"
2,TRUE,NA,0.00940579680814249,0.00647404246637939,1,1,272213414.193573,346149788.319008,0,0,12,"medium__nominal__high"
3,TRUE,NA,0.00876267419147628,0.00585345133057638,1,1,269693571.530342,346149788.319008,0,0,12,"medium__nominal__high"
4,TRUE,NA,0.00632270238949743,0.005293569359199,1,1,276859098.045997,346149788.319008,0,0,12,"medium__nominal__high"
5,TRUE,NA,0.008678016615658,0.00434878324125304,1,1,277333620.796867,346149788.319008,0,0,12,"medium__nominal__high"
6,TRUE,NA,0.01000783557896,0.00202598809369181,1,1,259132447.618437,285575232.802303,0,0,12,"medium__nominal__high"
7,TRUE,NA,0.00859848757989943,0.00415748681543049,1,1,272754779.92199,346149788.319008,0,0,12,"medium__nominal__high"
8,TRUE,NA,0.0112502248589186,0.00457461685387875,1,1,284662172.563955,346149788.319008,0,0,12,"medium__nominal__high"
9,TRUE,NA,0.0158688398259384,0.00412748337462071,1,1,267277730.514331,346149788.319008,0,0,12,"medium__nominal__high"
10,TRUE,NA,0.0130964933539402,0.0138011746565849,1,1,257892230.844689,287159313.849212,0,0,12,"medium__nominal__high"
11,TRUE,NA,0.00617090044167474,0.00562583841094555,1,1,280409814.348288,346149788.319008,0,0,12,"medium__nominal__high"
12,TRUE,NA,0.0101363865556955,0.00248173819062797,1,1,267787077.456355,346149788.319008,0,0,12,"medium__nominal__high"
1,TRUE,NA,0.0118279796509747,0.00750454931115269,0.995579932290814,0.997545215205118,19357.0645132948,138758.457656575,0,0,12,"medium__mismatch__none"
2,TRUE,NA,0.0229471522297144,0.012206398326162,0.994633952617373,0.997350805051588,18990.1096923546,163658.073997688,0,0,12,"medium__mismatch__none"
3,TRUE,NA,0.0129589071761961,0.00829628302288687,0.995326972833654,0.997392270860806,11102.5440172928,74930.2820111322,0,0,12,"medium__mismatch__none"
4,TRUE,NA,0.012045655929498,0.0102409834372331,0.995000098767694,0.997565918915342,7194.0686482574,42142.6185707992,0,0,12,"medium__mismatch__none"
5,TRUE,NA,0.00784794358888011,0.00668667147001845,0.994997831194038,0.997392270860806,8073.6922381393,24887.3575306877,0,0,12,"medium__mismatch__none"
6,TRUE,NA,0.0124087616530779,0.00765135191007671,0.995650661215255,0.999427815025209,6378.18122477763,31290.8901894466,0,0,12,"medium__mismatch__none"
7,TRUE,NA,0.0138024726575543,0.00985272338257948,0.996167766091142,0.999418791458747,7592.0696831996,20254.8991468346,0,0,12,"medium__mismatch__none"
8,TRUE,NA,0.010304810838556,0.00257122947092298,0.99553388343645,0.999427815025209,8339.25187126786,31290.8901894466,0,0,12,"medium__mismatch__none"
9,TRUE,NA,0.00958420769464936,0.0028278089128605,0.994982755142725,0.997392270860806,22770.4333295729,162882.020612787,0,0,12,"medium__mismatch__none"
10,TRUE,NA,0.0063855541744031,0.00279224100846842,0.994367191779562,0.997114237267285,37960.2425437545,339756.376602204,0,0,12,"medium__mismatch__none"
11,TRUE,NA,0.0113132488909803,0.00898807883735375,0.994917977880352,0.999418791458747,11135.0246069469,40874.7659081601,0,0,12,"medium__mismatch__none"
12,TRUE,NA,0.00780611122115234,0.00335305959988413,0.994437968809138,0.997392270860806,14108.5735241757,77329.1734083773,0,0,12,"medium__mismatch__none"
1,TRUE,NA,0.00812563498166515,0.00245091497177014,0.99284414835819,0.996505454939032,1151.30377199554,3707.55578032497,0,0,12,"medium__mismatch__moderate"
2,TRUE,NA,0.010054702010128,0.00462284083257231,0.994776190208,0.997630960739038,1438.06216909479,9968.44505462694,0,0,12,"medium__mismatch__moderate"
3,TRUE,NA,0.00998200537742715,0.00331823381072693,0.992030225063227,0.996318034738169,592.354601743811,3477.32098658074,0,0,12,"medium__mismatch__moderate"
4,TRUE,NA,0.0104667641033426,0.00421273360495883,0.99440247169831,0.997212497771202,1487.43939070146,9112.75899892543,0,0,12,"medium__mismatch__moderate"
5,TRUE,NA,0.0144185295609161,0.00729242485959841,0.99475824193034,0.997212497771202,806.090633194762,3477.32098658087,0,0,12,"medium__mismatch__moderate"
6,TRUE,NA,0.00604735778757638,0.00333241485863617,0.995252271664313,0.997630960739038,1115.50246952378,3477.32098658074,0,0,12,"medium__mismatch__moderate"
7,TRUE,NA,0.0154601008798638,0.011555715742862,0.993587455702239,0.996318034738169,1136.68945628612,3470.70826360013,0,0,12,"medium__mismatch__moderate"
8,TRUE,NA,0.00494928540204604,0.00332530600438996,0.994008813508128,0.997630960739038,1369.94680518672,4568.72517054043,0,0,12,"medium__mismatch__moderate"
9,TRUE,NA,0.00797592583296296,0.00417189701399978,0.992862696421065,0.996318034738169,1302.98694563653,3470.70826360013,0,0,12,"medium__mismatch__moderate"
10,TRUE,NA,0.0128789052067052,0.00721564517797674,0.994937600401987,0.997630960739038,1545.28109928206,6859.23484235848,0,0,12,"medium__mismatch__moderate"
11,TRUE,NA,0.0113337737915897,0.00431382553965354,0.994394608604678,0.997212497771202,837.83853010209,3477.32098658074,0,0,12,"medium__mismatch__moderate"
12,TRUE,NA,0.0112204494359012,0.00447933208575074,0.99598682052325,0.997700826940982,376.496343829191,1564.92387907096,0,0,12,"medium__mismatch__moderate"
1,TRUE,NA,0.00776958976091785,0.00306507222146385,1,1,300371063.111634,356003220.370799,0,0,12,"medium__mismatch__high"
2,TRUE,NA,0.0151378889101199,0.00622545738026925,1,1,304121977.904921,356003220.370799,0,0,12,"medium__mismatch__high"
3,TRUE,NA,0.0114443508803565,0.00824182646102312,1,1,282372901.482183,308286987.326625,0,0,12,"medium__mismatch__high"
4,TRUE,NA,0.0120511094486793,0.0108392410167999,1,1,291714527.855125,333673956.80171,0,0,12,"medium__mismatch__high"
5,TRUE,NA,0.00673064746691518,0.00251641255448026,1,1,304997861.235747,355100205.493346,0,0,12,"medium__mismatch__high"
6,TRUE,NA,0.0152410340248071,0.00601607661768017,1,1,297081881.038827,356003220.370799,0,0,12,"medium__mismatch__high"
7,TRUE,NA,0.0202369254250404,0.0112667649774946,1,1,297200531.104801,356003220.370799,0,0,12,"medium__mismatch__high"
8,TRUE,NA,0.00466207971236195,0.0031021897185961,1,1,290936108.34671,356003220.370799,0,0,12,"medium__mismatch__high"
9,TRUE,NA,0.0107867958625517,0.00473536266350744,1,1,293660316.515382,356003220.370799,0,0,12,"medium__mismatch__high"
10,TRUE,NA,0.00667963128109043,0.00120664148509281,1,1,294049878.838629,311967417.179199,0,0,12,"medium__mismatch__high"
11,TRUE,NA,0.0106833140550359,0.00535914218838118,1,1,295221122.131013,356003220.370799,0,0,12,"medium__mismatch__high"
12,TRUE,NA,0.0160816397418501,0.0131494991104112,1,1,294756777.912712,311967417.179199,0,0,12,"medium__mismatch__high"
1,TRUE,NA,0.00378600059268816,0.00213412737031582,0.977508871344397,0.997694174384943,2106.1775449289,6030.37629407816,0,0,12,"hard__nominal__none"
2,TRUE,NA,0.00883902843124475,0.00289430606438212,0.981307190877043,0.994746765358451,3209.86661470376,10062.8539370523,0,0,12,"hard__nominal__none"
3,TRUE,NA,0.00851432622138516,0.0063936803073687,0.983701147218161,0.997694174384943,1192.19683413926,4965.98941161438,0,0,12,"hard__nominal__none"
4,TRUE,NA,0.0146368635567843,0.010957472328668,0.982406477800755,0.997694174384943,1903.07925485066,7346.95138235938,0,0,12,"hard__nominal__none"
5,TRUE,NA,0.0122867521558046,0.00629183435701874,0.9800690508313,0.997694174384943,3086.59512846286,10062.8539370523,0,0,12,"hard__nominal__none"
6,TRUE,NA,0.00915322907056028,0.0028338646087307,0.978792910630599,0.98972148783225,3122.48188998368,8942.477058231,0,0,12,"hard__nominal__none"
7,TRUE,NA,0.0155951413992783,0.00583529116988996,0.980235303581675,0.994746765358451,1705.72833083299,6491.61039976326,0,0,12,"hard__nominal__none"
8,TRUE,NA,0.0176705387763912,0.00691955040381326,0.981067646785583,0.997694174384943,3359.43574809547,10529.9325268465,0,0,12,"hard__nominal__none"
9,TRUE,NA,0.0120189682550955,0.00859921909663747,0.979332390226214,0.98972148783225,2378.18035316279,8590.22476546484,0,0,12,"hard__nominal__none"
10,TRUE,NA,0.012636837035071,0.00471488105357698,0.976235061115139,0.98954275203681,3593.84260969687,11211.991915502,0,0,12,"hard__nominal__none"
11,TRUE,NA,0.00670055836003853,0.00448350214136978,0.984647106243011,0.997694174384943,2479.7394408149,10062.8539370523,0,0,12,"hard__nominal__none"
12,TRUE,NA,0.00620755025644939,0.0026761826927981,0.974692181632538,0.997694174384943,3319.02024891468,11431.179862458,0,0,12,"hard__nominal__none"
1,TRUE,NA,0.0102760506960339,0.00577862784525057,0.992843558011211,0.997694174384943,7519.21906489024,38998.5842671741,0,0,12,"hard__nominal__moderate"
2,TRUE,NA,0.00682308912916673,0.00690248917682856,0.993752668507568,0.997742498676065,1828.36131048597,13649.4167053766,0,0,12,"hard__nominal__moderate"
3,TRUE,NA,0.0141001275911865,0.00485144931178849,0.993861585021322,0.997194179452507,9611.73203918825,29530.2780084456,0,0,12,"hard__nominal__moderate"
4,TRUE,NA,0.014003120296131,0.0102664753994086,0.992868068200404,0.996318034738169,5513.75968008562,29530.2780084394,0,0,12,"hard__nominal__moderate"
5,TRUE,NA,0.0107921441203836,0.00833037193655201,0.993849527687358,0.996318034738169,9144.19950595124,29530.2780084456,0,0,12,"hard__nominal__moderate"
6,TRUE,NA,0.00911016321247351,0.00347444025669996,0.992908987928279,0.995427026150779,8334.76323541227,29530.2780084456,0,0,12,"hard__nominal__moderate"
7,TRUE,NA,0.0142363666055595,0.00429434040830867,0.993875337582345,0.997694174384943,9348.81091798722,29836.9349608433,0,0,12,"hard__nominal__moderate"
8,TRUE,NA,0.0080178493887075,0.00544827112442919,0.993351274784536,0.996318034738169,12839.1866860191,38998.5842671741,0,0,12,"hard__nominal__moderate"
9,TRUE,NA,0.0102671598831503,0.00664640346049755,0.992952353598117,0.997694174384943,9113.00592831478,29530.2780084456,0,0,12,"hard__nominal__moderate"
10,TRUE,NA,0.00533273007652703,0.0046684789763155,0.994368135904761,0.997694174384943,5214.79335291878,28965.8864117821,0,0,12,"hard__nominal__moderate"
11,TRUE,NA,0.0204561019441123,0.00632330260922587,0.991198376201326,0.997694174384943,7680.66227118225,28965.8864117821,0,0,12,"hard__nominal__moderate"
12,TRUE,NA,0.00650686027497474,0.0020438603789602,0.993487082990948,0.996318034738169,10133.9933791512,29530.2780084456,0,0,12,"hard__nominal__moderate"
1,TRUE,NA,0.0097107932276476,0.00376974606897407,0.992139728421425,0.997742498676065,3345.11528752046,17754.9952435009,0,0,12,"hard__nominal__high"
2,TRUE,NA,0.0220556092077077,0.00326708876164186,0.992176792459294,0.997694174384943,4775.58410373641,17754.9952435009,0,0,12,"hard__nominal__high"
3,TRUE,NA,0.00810729401820874,0.00343194559859894,0.991163448015573,0.994063851387036,4545.88708353774,29107.3684362029,0,0,12,"hard__nominal__high"
4,TRUE,NA,0.00913649306358684,0.00211654659802768,0.993344599449508,0.997694174384943,4374.01047093064,17754.9952435009,0,0,12,"hard__nominal__high"
5,TRUE,NA,0.0137980892146117,0.0123619745265925,0.99076175677182,0.994438470539488,13439.1567543659,116131.679528854,0,0,12,"hard__nominal__high"
6,TRUE,NA,0.0145977716512859,0.00498106443005342,0.99401901197549,0.997694174384943,4641.22123944904,12749.6756115683,0,0,12,"hard__nominal__high"
7,TRUE,NA,0.00399184375604815,0.00342108193829599,0.992127177303403,0.997694174384943,4608.41978933304,17754.995243476,0,0,12,"hard__nominal__high"
8,TRUE,NA,0.0131055975820293,0.0102789116078938,0.99143681752395,0.994370029126589,5130.09758032015,17754.9952435009,0,0,12,"hard__nominal__high"
9,TRUE,NA,0.00186887691903791,0.00121103510281401,0.994795522972162,0.997848854268285,7217.44143967625,17754.9952435009,0,0,12,"hard__nominal__high"
10,TRUE,NA,0.0188578725663821,0.00739637274834826,0.991723970726077,0.994796988805818,6581.25549442489,29107.3684362029,0,0,12,"hard__nominal__high"
11,TRUE,NA,0.00337264034653731,0.000899135153729552,0.993004135063507,0.997742498676065,10218.403998822,39945.5013002074,0,0,12,"hard__nominal__high"
12,TRUE,NA,0.0101217214588242,0.00575589001041821,0.991222078944052,0.994582944173257,3562.02571237954,17754.9952435009,0,0,12,"hard__nominal__high"
1,TRUE,NA,0.0159510343377855,0.00667447186734949,0.981348974468483,0.997694174384943,3812.37709858148,20115.5993385996,0,0,12,"hard__mismatch__none"
2,TRUE,NA,0.0139355051316252,0.00597524615586215,0.978823992487317,0.997694174384943,2565.49227566128,6651.4682732463,0,0,12,"hard__mismatch__none"
3,TRUE,NA,0.0196813261230782,0.00801904233720524,0.974988281017219,0.988589718143636,5586.16503376527,20115.5993385996,0,0,12,"hard__mismatch__none"
4,TRUE,NA,0.00740058775917591,0.00421887259151765,0.979475125484457,0.997694174384943,3375.6326162867,22594.9130197477,0,0,12,"hard__mismatch__none"
5,TRUE,NA,0.0231200000678416,0.0118386025804146,0.976858262297152,0.990652326080116,2492.69923144331,5374.88851284102,0,0,12,"hard__mismatch__none"
6,TRUE,NA,0.00975109664888439,0.00563164921233461,0.982036241772506,0.997694174384943,2352.32622004216,6651.4682732463,0,0,12,"hard__mismatch__none"
7,TRUE,NA,0.00718425977491663,0.00443809062994388,0.979889524556367,0.997694174384943,3206.8202968519,10387.1011277226,0,0,12,"hard__mismatch__none"
8,TRUE,NA,0.0137710334910354,0.00891353338768941,0.981718151380823,0.997694174384943,1798.91812314232,6651.4682732463,0,0,12,"hard__mismatch__none"
9,TRUE,NA,0.0069940780510382,0.00440932780662401,0.974358748367197,0.997694174384943,3298.14342956667,10387.1011277229,0,0,12,"hard__mismatch__none"
10,TRUE,NA,0.0123110164581735,0.00745096418274321,0.977944480434191,0.997694174384943,9196.19965422111,54026.6003304339,0,0,12,"hard__mismatch__none"
11,TRUE,NA,0.00796648617107795,0.00684630873431968,0.97896244528526,0.997694174384943,2614.37863249691,10387.1011277226,0,0,12,"hard__mismatch__none"
12,TRUE,NA,0.012531355866503,0.00346862982776669,0.980315336229714,0.993142340046896,2395.39392467074,5829.96997654043,0,0,12,"hard__mismatch__none"
1,TRUE,NA,0.0135479462816438,0.00883397171750516,0.979457461417624,0.997694174384943,2382.83628115977,6800.79963800195,0,0,12,"hard__mismatch__moderate"
2,TRUE,NA,0.00940196001388355,0.00171854697531654,0.977200520806268,0.988589718143636,3541.29171952957,6800.79963800195,0,0,12,"hard__mismatch__moderate"
3,TRUE,NA,0.010583007743351,0.0101327504921221,0.982403627677179,0.994746765358452,1722.31070280654,5367.59267763467,0,0,12,"hard__mismatch__moderate"
4,TRUE,NA,0.0227830741324047,0.0134273777837682,0.97815312271754,0.990307657952284,2601.33127072868,5270.96486949636,0,0,12,"hard__mismatch__moderate"
5,TRUE,NA,0.0104538599852603,0.00643629934408707,0.980468810169443,0.997694174384943,2425.52943718456,6800.79963800195,0,0,12,"hard__mismatch__moderate"
6,TRUE,NA,0.0141832990911451,0.0079639412101552,0.979788013015246,0.990187597292253,2477.38505493356,6800.79963800195,0,0,12,"hard__mismatch__moderate"
7,TRUE,NA,0.0114299988440398,0.00536954864398662,0.982615078323042,0.997694174384943,2973.40454988222,10582.1632578953,0,0,12,"hard__mismatch__moderate"
8,TRUE,NA,0.00666467882250898,0.00554300754429177,0.977014219952633,0.997694174384943,6014.36728122804,44693.1527625601,0,0,12,"hard__mismatch__moderate"
9,TRUE,NA,0.0040020615159285,0.00091092693864292,0.977685422625753,0.997694174384943,3066.01973778777,7709.83740103684,0,0,12,"hard__mismatch__moderate"
10,TRUE,NA,0.00762429769938656,0.00351654810692931,0.977863867728175,0.997694174384943,2245.65728906976,6800.79963800195,0,0,12,"hard__mismatch__moderate"
11,TRUE,NA,0.0157663019015346,0.00683152837225093,0.981438229466059,0.994746765358452,1910.75965287918,6800.79963800195,0,0,12,"hard__mismatch__moderate"
12,TRUE,NA,0.0162153009043285,0.0094553287841711,0.981550771867089,0.990422030048377,2466.16229353627,5058.61225018724,0,0,12,"hard__mismatch__moderate"
1,TRUE,NA,0.0103988613149617,0.00578811595462825,0.994759972621026,0.997388008873887,2730.42873513706,10893.5319394746,0,0,12,"hard__mismatch__high"
2,TRUE,NA,0.00975176381670437,0.00306773430548007,0.995004087709805,0.999434324308031,1902.31153258941,4784.44645954145,0,0,12,"hard__mismatch__high"
3,TRUE,NA,0.0148638449803949,0.00980881220059715,0.995061002417625,0.999410125180153,2709.56736206985,5161.03975728221,0,0,12,"hard__mismatch__high"
4,TRUE,NA,0.0073077999185589,0.00337878028629801,0.995355414512608,0.999410125180153,1516.23985430016,5116.25765940609,0,0,12,"hard__mismatch__high"
5,TRUE,NA,0.00507764365642413,0.0019660619483316,0.995571782119469,0.998672021860761,3341.76578147194,16235.6735516392,0,0,12,"hard__mismatch__high"
6,TRUE,NA,0.00450749655711088,0.00265018498510322,0.995177844208063,0.999410125180153,2161.25082318418,4784.44645954145,0,0,12,"hard__mismatch__high"
7,TRUE,NA,0.011958846460738,0.00486238202397299,0.993805689586637,0.999410125180153,1863.91622831995,5164.33459816955,0,0,12,"hard__mismatch__high"
8,TRUE,NA,0.00916885589402083,0.00285163956796614,0.994878727018997,0.999410125180153,2313.28471626428,10893.5319394746,0,0,12,"hard__mismatch__high"
9,TRUE,NA,0.00668928356695299,0.00368581271211105,0.993730455978827,0.997130082376203,1658.70101898895,3206.71171004539,0,0,12,"hard__mismatch__high"
10,TRUE,NA,0.0190683504421145,0.0151403506415622,0.994239918587443,0.997388008873887,1637.18528350114,3893.94516294366,0,0,12,"hard__mismatch__high"
11,TRUE,NA,0.0158282457777695,0.0107854533288175,0.994618515841205,0.997388008873887,3089.31007773943,15869.5616664933,0,0,12,"hard__mismatch__high"
12,TRUE,NA,0.00601824640654081,0.00384321637431712,0.994569174039368,0.998373499931164,3698.97328033957,16235.6735516392,0,0,12,"hard__mismatch__high"
