"scenario","method","n_old","mean_cor_old","median_cor_old","sd_cor_old","mean_rmse_old","median_rmse_old","sd_rmse_old","mean_slope_bias_old","median_slope_bias_old","sd_slope_bias_old","mean_abs_slope_bias_old","mean_intercept_bias_old","median_intercept_bias_old","sd_intercept_bias_old","mean_abs_intercept_bias_old","mean_sign_acc_old","median_sign_acc_old","sd_sign_acc_old","success_rate_old","run_old","n_new","mean_cor_new","median_cor_new","sd_cor_new","mean_rmse_new","median_rmse_new","sd_rmse_new","mean_slope_bias_new","median_slope_bias_new","sd_slope_bias_new","mean_abs_slope_bias_new","mean_intercept_bias_new","median_intercept_bias_new","sd_intercept_bias_new","mean_abs_intercept_bias_new","mean_sign_acc_new","median_sign_acc_new","sd_sign_acc_new","success_rate_new","run_new","delta_cor","delta_rmse","delta_sign_acc"
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_oasis_best",40,0.121369950569933,0.124024337586628,0.0463918721290787,3.61531714299488,3.60850896557856,0.309120652853671,-0.575561053377457,-0.537568922072571,0.160248634509305,0.575561053377457,-0.00450360945297125,-0.00389530011969906,0.0548675851607446,0.0444023600175302,0.534606481481481,0.533564814814815,0.0240331190644455,1,"before",40,0.245505872375637,0.243008470604528,0.0417272627575041,2.94844428513508,2.94776010664151,0.368183614440883,-0.266464895738986,-0.292193635503206,0.176775249062256,0.274601667982993,-0.00157889212592338,-0.00530593690104257,0.0653520599709245,0.050579723259172,0.58443287037037,0.584490740740741,0.0210072898570385,1,"after",0.124135921805704,-0.6668728578598,0.0498263888888889
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","st_default",40,0.398295912819741,0.397190111444418,0.073184266048827,1.12995170415425,1.11863634241049,0.108205340660139,-0.770439169338419,-0.774868450030702,0.0506264134231528,0.770439169338419,-0.00337617553421718,0.00562138412699741,0.05063622185544,0.0381780689730038,0.618518518518519,0.615740740740741,0.0283806065853108,1,"before",40,0.398295912819741,0.397190111444418,0.073184266048827,1.12995170415425,1.11863634241049,0.108205340660139,-0.770439169338419,-0.774868450030702,0.0506264134231528,0.770439169338419,-0.00337617553421718,0.00562138412699741,0.05063622185544,0.0381780689730038,0.618518518518519,0.615740740740741,0.0283806065853108,1,"after",0,0,0
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_oasis_best",40,0.386125907440036,0.379872424541376,0.0396633870293539,2.23627604127259,2.15626491443503,0.276223041901046,-0.234374355594042,-0.255858587182118,0.109085756883491,0.238740800119822,0.0117198138866717,0.0096774349516413,0.0789350395274175,0.0641367998924293,0.616724537037037,0.616898148148148,0.025367750742504,1,"before",40,0.386125907440036,0.379872424541376,0.0396633870293539,2.23627604127259,2.15626491443503,0.276223041901046,-0.234374355594042,-0.255858587182118,0.109085756883491,0.238740800119822,0.0117198138866717,0.0096774349516413,0.0789350395274175,0.0641367998924293,0.616724537037037,0.616898148148148,0.025367750742504,1,"after",0,0,0
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_lss",40,0.384763830039442,0.378451906588502,0.039475727805962,2.35226336263957,2.28953613496618,0.274100858841919,-0.194822965018485,-0.22405790749448,0.113941749935342,0.204624522676402,0.0115472174293134,0.0129653459403403,0.0795013771113323,0.0641060381522504,0.616724537037037,0.616898148148148,0.0251392457768675,1,"before",40,0.384763830039442,0.378451906588502,0.039475727805962,2.35226336263957,2.28953613496618,0.274100858841919,-0.194822965018485,-0.22405790749448,0.113941749935342,0.204624522676402,0.0115472174293134,0.0129653459403403,0.0795013771113323,0.0641060381522504,0.616724537037037,0.616898148148148,0.0251392457768675,1,"after",0,0,0
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_sbhm",40,0.362150039037764,0.360744061652122,0.0483225570710704,2.44325906248641,2.40101580541629,0.375816053864503,-0.241136707477457,-0.264924923158173,0.12751204431406,0.241565286876061,-0.0105852885889013,-0.00464196081248074,0.091034134886924,0.0756762426732065,0.602199074074074,0.604166666666667,0.0223973075548322,1,"before",40,0.329219988041442,0.326895549347013,0.0432405495516621,2.61940043471067,2.55511080424963,0.487713122454814,-0.332247196742605,-0.326383771809355,0.116683881826156,0.332247196742605,-0.0110761954122331,-0.0256764846271132,0.106949384397433,0.0862361873378385,0.598611111111111,0.603009259259259,0.0256205732507632,1,"after",-0.032930050996322,0.17614137222426,-0.00358796296296304
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_lss",40,0.309458233127847,0.31046062603313,0.042083170493185,2.52637364398133,2.50404147625044,0.253867501140974,-0.210076161975242,-0.238181844577145,0.176080525729627,0.241211710232229,-0.00633954209921741,-0.0058224234769219,0.0592849608887784,0.0454277109945206,0.601157407407407,0.599537037037037,0.0208313547651791,1,"before",40,0.309458233127847,0.31046062603313,0.042083170493185,2.52637364398133,2.50404147625044,0.253867501140974,-0.210076161975242,-0.238181844577145,0.176080525729627,0.241211710232229,-0.00633954209921741,-0.0058224234769219,0.0592849608887784,0.0454277109945206,0.601157407407407,0.599537037037037,0.0208313547651791,1,"after",0,0,0
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","st_default",40,0.307143682607974,0.300276204056247,0.0462597910022591,1.02845920203112,1.02497737485706,0.0559936111638484,-0.944297643244499,-0.949972644046594,0.0278797690169146,0.944297643244499,-0.00332588296568622,0.00315088232583207,0.0308646207322174,0.0211363716233756,0.608506944444444,0.613425925925926,0.0233266355901823,1,"before",40,0.307143682607974,0.300276204056247,0.0462597910022591,1.02845920203112,1.02497737485706,0.0559936111638484,-0.944297643244499,-0.949972644046594,0.0278797690169146,0.944297643244499,-0.00332588296568622,0.00315088232583207,0.0308646207322174,0.0211363716233756,0.608506944444444,0.613425925925926,0.0233266355901823,1,"after",0,0,0
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_sbhm",40,0.289836266457497,0.291198769767599,0.0501355087762761,2.65942614289494,2.58391889458193,0.391364970804884,-0.245158590003333,-0.256932563497253,0.192865319509629,0.27880893361381,-0.00145879806339428,-0.00754955239675699,0.0715718550262821,0.0532667264821248,0.599768518518519,0.600694444444444,0.0265683200205646,1,"before",40,0.27821375712435,0.283145929856162,0.0539122827356406,2.63267894030385,2.59781151473704,0.335356733252016,-0.291032356027948,-0.280089605637877,0.173438134945584,0.306986335170854,0.0137826133437295,0.0204887600814877,0.0749554334648524,0.0595578962730791,0.592303240740741,0.590277777777778,0.023596020422837,1,"after",-0.011622509333147,-0.02674720259109,-0.00746527777777795
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_oasis_best",40,0.177718286026838,0.180853719141565,0.0539672245513624,2.68446484486533,2.67105106033318,0.21120035302254,-0.543044210583603,-0.562834545769782,0.150676336774961,0.543044210583603,-0.00516438724270791,-0.014299169634614,0.061394352289893,0.0487692690889483,0.55787037037037,0.560185185185185,0.0205243789649841,1,"before",40,0.310034308619482,0.311010404167139,0.0420540124382206,2.39491212146133,2.36692929583225,0.255780076103433,-0.251550700624344,-0.283912651346011,0.173066445310523,0.278244202984276,-0.00442315912224715,-0.00828792110209275,0.0615869269633838,0.0487409742128674,0.602719907407407,0.601851851851852,0.021394183221577,1,"after",0.132316022592644,-0.289552723404,0.044849537037037
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_sbhm",40,0.261153310929231,0.255898631663628,0.0460262458634317,2.66188119679623,2.62872455106701,0.288864190584284,-0.257935654069738,-0.265915072265141,0.187597629800507,0.288835220443199,0.00153434394527156,0.0158664990023252,0.071591194101541,0.0561267978412636,0.590335648148148,0.590277777777778,0.0241160847512335,1,"before",40,0.252656308869596,0.246051513802349,0.048726236775397,2.55992854007452,2.55937161145832,0.296618072451015,-0.299626584062087,-0.305698448205955,0.181078040203479,0.306193695161843,0.00315208476438689,0.000775243720550042,0.0688429327202019,0.0531848421123967,0.590104166666667,0.59375,0.0308139466578558,1,"after",-0.008497002059635,-0.10195265672171,-0.000231481481481
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_lss",40,0.252041286816618,0.246028409943863,0.0420100165641517,2.73643749680102,2.68764373959676,0.279148704582751,-0.251261029735366,-0.29548788552033,0.17984016176846,0.277686964753003,0.00458096424677324,0.0125439569033737,0.0575578038984014,0.0490163215247824,0.589872685185185,0.586805555555556,0.0231652803410517,1,"before",40,0.252041286816618,0.246028409943863,0.0420100165641517,2.73643749680102,2.68764373959676,0.279148704582751,-0.251261029735366,-0.29548788552033,0.17984016176846,0.277686964753003,0.00458096424677324,0.0125439569033737,0.0575578038984014,0.0490163215247824,0.589872685185185,0.586805555555556,0.0231652803410517,1,"after",0,0,0
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","st_default",40,0.247911432483833,0.241961515650323,0.0451711132549258,0.975706666157002,0.976342481159013,0.0371635412702649,-0.95597577136886,-0.963836422606256,0.0287211004321667,0.95597577136886,0.000527508696654075,0.00832775867103697,0.0423177036060064,0.0267869281688846,0.605960648148148,0.607638888888889,0.0232103124217143,1,"before",40,0.247911432483833,0.241961515650323,0.0451711132549258,0.975706666157002,0.976342481159013,0.0371635412702649,-0.95597577136886,-0.963836422606256,0.0287211004321667,0.95597577136886,0.000527508696654075,0.00832775867103697,0.0423177036060064,0.0267869281688846,0.605960648148148,0.607638888888889,0.0232103124217143,1,"after",0,0,0
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_oasis_best",40,0.134619727067843,0.138866588835412,0.0437064901300745,2.97377836612614,2.9647351299217,0.252055050110149,-0.584597960035374,-0.57161504496439,0.135053865090574,0.584597960035374,0.0108237022232327,0.00889295296763787,0.0564100550497231,0.0445434974014829,0.547280092592593,0.548611111111111,0.0212278482933601,1,"before",40,0.252707111523273,0.246860795669471,0.0419538535564306,2.57695999369374,2.5361816985056,0.267603742417902,-0.295202706428563,-0.324678461808529,0.169234089562689,0.3120735603989,0.00543013230826238,0.00742626320904405,0.0707220704460003,0.0575168961363109,0.590162037037037,0.586805555555556,0.0230467270098409,1,"after",0.11808738445543,-0.3968183724324,0.0428819444444439
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_default",40,0.368931428267798,0.365678986324614,0.0456054314561379,1.02232674770145,1.02602919892194,0.0583819234828276,-0.940490995300486,-0.944246227871144,0.0163827129733478,0.940490995300486,-0.00053456021478231,0.000733558867642426,0.0140272613528999,0.0104767455006165,0.620138888888889,0.619212962962963,0.0250347091192863,1,"before",40,0.368931428267798,0.365678986324614,0.0456054314561379,1.02232674770145,1.02602919892194,0.0583819234828276,-0.940490995300486,-0.944246227871144,0.0163827129733478,0.940490995300486,-0.00053456021478231,0.000733558867642426,0.0140272613528999,0.0104767455006165,0.620138888888889,0.619212962962963,0.0250347091192863,1,"after",0,0,0
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","fmrilss_oasis_best",40,0.335633617372929,0.334538157583626,0.0495783662923907,2.77760770810337,2.75973375326775,0.255197246522521,-0.070696271593419,-0.111035421715294,0.18398736106518,0.170184651508406,-0.0044018179456939,0.00151398605541698,0.0916018669590341,0.0664014584093947,0.610185185185185,0.606481481481482,0.0236112274916596,1,"before",40,0.335633617372929,0.334538157583626,0.0495783662923907,2.77760770810337,2.75973375326775,0.255197246522521,-0.070696271593419,-0.111035421715294,0.18398736106518,0.170184651508406,-0.0044018179456939,0.00151398605541698,0.0916018669590341,0.0664014584093947,0.610185185185185,0.606481481481482,0.0236112274916596,1,"after",0,0,0
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","fmrilss_lss",40,0.334365314099532,0.332796375813832,0.049588272193903,2.95914477289931,2.93953739227123,0.284834846349085,-0.014619011461605,-0.0519016419515202,0.197809961912436,0.164426400623315,-0.00471490519521333,0.000399833822314454,0.0978003959012351,0.0710662860450436,0.609722222222222,0.604166666666667,0.0244629002388102,1,"before",40,0.334365314099532,0.332796375813832,0.049588272193903,2.95914477289931,2.93953739227123,0.284834846349085,-0.014619011461605,-0.0519016419515202,0.197809961912436,0.164426400623315,-0.00471490519521333,0.000399833822314454,0.0978003959012351,0.0710662860450436,0.609722222222222,0.604166666666667,0.0244629002388102,1,"after",0,0,0
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",40,0.165152327951321,0.153149467132186,0.0637999473208351,3.23608940860043,3.19581785458367,0.365601687619518,-0.469871988523589,-0.513400382797187,0.231245274163662,0.473858600466703,0.0127826041636998,0.00848405469005128,0.11522572869509,0.0825214847987664,0.555034722222222,0.553240740740741,0.0257579578497759,1,"before",40,0.175391212106046,0.170372460721062,0.0665748680691095,3.50448856865676,3.27073727012154,0.68343714204308,-0.444671168145772,-0.477076507111236,0.242488918760769,0.455007485180193,0.0217801858873657,0.00675230034791141,0.126006593738708,0.0952804238956931,0.557638888888889,0.555555555555556,0.02873948540204,1,"after",0.010238884154725,0.26839916005633,0.00260416666666696
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","st_default",40,0.359004748136781,0.363187276946591,0.0388836560100854,0.936745114803168,0.936783145327105,0.0331440115358952,-0.835923355531677,-0.837718876720308,0.0219794488978337,0.835923355531677,0.000363954409851821,0.00217234783219002,0.0316204270364502,0.0241720278372547,0.624710648148148,0.621527777777778,0.0221483239024604,1,"before",40,0.359004748136781,0.363187276946591,0.0388836560100854,0.936745114803168,0.936783145327105,0.0331440115358952,-0.835923355531677,-0.837718876720308,0.0219794488978337,0.835923355531677,0.000363954409851821,0.00217234783219002,0.0316204270364502,0.0241720278372547,0.624710648148148,0.621527777777778,0.0221483239024604,1,"after",0,0,0
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","fmrilss_lss",40,0.33357976720537,0.335618530257017,0.0408085399326395,2.69877413305665,2.67515518820234,0.198130871076278,-0.0244734086245609,-0.0248413237952794,0.145312916957957,0.12025753532195,0.00115504764823558,-0.00777570158298544,0.0586978109940927,0.0465151353080202,0.614236111111111,0.615740740740741,0.0218130535657738,1,"before",40,0.33357976720537,0.335618530257017,0.0408085399326395,2.69877413305665,2.67515518820234,0.198130871076278,-0.0244734086245609,-0.0248413237952794,0.145312916957957,0.12025753532195,0.00115504764823558,-0.00777570158298544,0.0586978109940927,0.0465151353080202,0.614236111111111,0.615740740740741,0.0218130535657738,1,"after",0,0,0
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","fmrilss_oasis_best",40,0.249083762061559,0.251770049904235,0.0414948542445029,2.96070207821933,2.95012313303302,0.180022778041926,-0.21898307688217,-0.22476897196408,0.143448138656964,0.226236108123955,0.00280315997133313,0.000482464717127572,0.058302973144519,0.0446080198627219,0.586979166666667,0.587962962962963,0.0211305400289358,1,"before",40,0.333871302918024,0.335903905660846,0.0407856365684693,2.57535339189763,2.56629044882886,0.183466944819967,-0.0696939938233589,-0.0748946949925947,0.133034760316591,0.123193654575738,0.00179410334496883,-0.010162847392985,0.0617842403750688,0.0487329669866662,0.614525462962963,0.613425925925926,0.0219539259242004,1,"after",0.084787540856465,-0.3853486863217,0.0275462962962959
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","fmrilss_sbhm",40,0.163566849827737,0.163475199853785,0.0483982126164813,3.06515097046519,2.93821902808136,0.463229157645901,-0.479932906027892,-0.509316402813024,0.158945157430288,0.479932906027892,0.0195533051204879,0.0243337968787692,0.0904816044359878,0.0726194833392545,0.561168981481482,0.559027777777778,0.0204364129228762,1,"before",40,0.177949205198061,0.177512797617803,0.0564141824228878,3.52327644840141,3.47063572223708,0.71410062413939,-0.420976230355326,-0.471788203202457,0.253600114494777,0.444248306948567,0.00769369059830041,0.000187054537959738,0.111250952411168,0.0910539749744449,0.564641203703704,0.563657407407407,0.0249939951592148,1,"after",0.014382355370324,0.45812547793622,0.00347222222222199
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","st_default",40,0.35207511624248,0.364439024945644,0.0833180922983262,1.18279167021247,1.17412537626674,0.101812331564422,-0.931991722414472,-0.935146694092557,0.0320723092504251,0.931991722414472,-0.00371437802054238,-0.00158145883632461,0.0286059364728895,0.0202424174805331,0.574131944444444,0.599537037037037,0.127708090138924,1,"before",40,0.35207511624248,0.364439024945644,0.0833180922983262,1.18279167021247,1.17412537626674,0.101812331564422,-0.931991722414472,-0.935146694092557,0.0320723092504251,0.931991722414472,-0.00371437802054238,-0.00158145883632461,0.0286059364728895,0.0202424174805331,0.574131944444444,0.599537037037037,0.127708090138924,1,"after",0,0,0
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","fmrilss_lss",40,0.32584942421768,0.323919164209111,0.0402501342141495,3.56046289951413,3.61329738138917,0.445877227228914,0.0251697799365793,0.0240049204853442,0.19285407734187,0.159374078766171,0.0125906894575895,0.0217502544352911,0.0648536852486834,0.0534060072492273,0.588136574074074,0.585648148148148,0.0216158789368702,1,"before",40,0.32584942421768,0.323919164209111,0.0402501342141495,3.56046289951413,3.61329738138917,0.445877227228914,0.0251697799365793,0.0240049204853442,0.19285407734187,0.159374078766171,0.0125906894575895,0.0217502544352911,0.0648536852486834,0.0534060072492273,0.588136574074074,0.585648148148148,0.0216158789368702,1,"after",0,0,0
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","fmrilss_oasis_best",40,0.206208368105589,0.213152048956179,0.0492364844739889,4.16080450549125,4.19567043286676,0.407010213354316,-0.267356650586655,-0.251525264897068,0.193999124760576,0.272916768053985,0.00181064003433975,-0.00743333008920776,0.0593592534793899,0.0471518805353717,0.554050925925926,0.559027777777778,0.0247795825596122,1,"before",40,0.326249354294378,0.32429986623832,0.0402229624691489,3.40760392762656,3.41804907901666,0.43927683665013,-0.0186869894900793,-0.0109403033537097,0.186043100559633,0.152770802584053,0.00841569520604573,0.0183177294638515,0.062064946571881,0.0510634932018259,0.587789351851852,0.587962962962963,0.0214307575179684,1,"after",0.120040986188789,-0.75320057786469,0.033738425925926
